frame,reset,wall_ms,invalid,rgb_min,rgb_max,luma_mean,roi_luma_mean,dark_pixels,roi_dark_pixels,changed_half_values_from_first,maxabs_from_first,checked
0,1,1242.718000,0,0,0.999511719,0.0100132575,0.0156972295,841990,273935,0,0,1
1,1,14.939000,,,,,,,,,,0
2,1,14.062000,,,,,,,,,,0
3,1,13.371000,,,,,,,,,,0
4,1,12.901000,,,,,,,,,,0
5,1,12.983000,,,,,,,,,,0
6,1,13.291000,,,,,,,,,,0
7,1,13.346000,,,,,,,,,,0
8,1,13.117000,,,,,,,,,,0
9,1,13.083000,,,,,,,,,,0
10,1,13.226000,,,,,,,,,,0
11,1,13.281000,,,,,,,,,,0
12,1,13.155000,,,,,,,,,,0
13,1,13.311000,,,,,,,,,,0
14,1,13.201000,,,,,,,,,,0
15,1,13.211000,,,,,,,,,,0
16,1,12.777000,,,,,,,,,,0
17,1,12.653000,,,,,,,,,,0
18,1,12.716000,,,,,,,,,,0
19,1,12.756000,,,,,,,,,,0
20,1,12.659000,,,,,,,,,,0
21,1,12.631000,,,,,,,,,,0
22,1,12.567000,,,,,,,,,,0
23,1,12.737000,,,,,,,,,,0
24,1,12.696000,,,,,,,,,,0
25,1,12.824000,,,,,,,,,,0
26,1,12.923000,,,,,,,,,,0
27,1,12.945000,,,,,,,,,,0
28,1,12.998000,,,,,,,,,,0
29,1,13.070000,,,,,,,,,,0
30,1,13.053000,,,,,,,,,,0
31,1,12.938000,,,,,,,,,,0
32,1,12.951000,,,,,,,,,,0
33,1,12.968000,,,,,,,,,,0
34,1,12.994000,,,,,,,,,,0
35,1,13.122000,,,,,,,,,,0
36,1,13.211000,,,,,,,,,,0
37,1,13.016000,,,,,,,,,,0
38,1,13.077000,,,,,,,,,,0
39,1,13.171000,,,,,,,,,,0
40,1,13.018000,,,,,,,,,,0
41,1,12.981000,,,,,,,,,,0
42,1,13.064000,,,,,,,,,,0
43,1,13.011000,,,,,,,,,,0
44,1,13.000000,,,,,,,,,,0
45,1,13.040000,,,,,,,,,,0
46,1,13.056000,,,,,,,,,,0
47,1,13.060000,,,,,,,,,,0
48,1,13.112000,,,,,,,,,,0
49,1,13.004000,,,,,,,,,,0
50,1,13.086000,,,,,,,,,,0
51,1,12.987000,,,,,,,,,,0
52,1,13.009000,,,,,,,,,,0
53,1,13.066000,,,,,,,,,,0
54,1,12.987000,,,,,,,,,,0
55,1,13.038000,,,,,,,,,,0
56,1,12.939000,,,,,,,,,,0
57,1,13.018000,,,,,,,,,,0
58,1,13.002000,,,,,,,,,,0
59,1,12.985000,,,,,,,,,,0
60,1,13.032000,,,,,,,,,,0
61,1,12.951000,,,,,,,,,,0
62,1,13.006000,,,,,,,,,,0
63,1,13.227000,,,,,,,,,,0
64,1,13.209000,,,,,,,,,,0
65,1,13.092000,,,,,,,,,,0
66,1,13.073000,,,,,,,,,,0
67,1,13.089000,,,,,,,,,,0
68,1,13.019000,,,,,,,,,,0
69,1,13.169000,,,,,,,,,,0
70,1,13.179000,,,,,,,,,,0
71,1,13.167000,,,,,,,,,,0
72,1,13.084000,,,,,,,,,,0
73,1,13.182000,,,,,,,,,,0
74,1,13.308000,,,,,,,,,,0
75,1,13.079000,,,,,,,,,,0
76,1,13.152000,,,,,,,,,,0
77,1,13.235000,,,,,,,,,,0
78,1,13.039000,,,,,,,,,,0
79,1,13.117000,,,,,,,,,,0
80,1,13.159000,,,,,,,,,,0
81,1,13.155000,,,,,,,,,,0
82,1,13.293000,,,,,,,,,,0
83,1,13.337000,,,,,,,,,,0
84,1,13.155000,,,,,,,,,,0
85,1,13.271000,,,,,,,,,,0
86,1,13.131000,,,,,,,,,,0
87,1,13.110000,,,,,,,,,,0
88,1,13.317000,,,,,,,,,,0
89,1,13.155000,,,,,,,,,,0
90,1,13.164000,,,,,,,,,,0
91,1,13.158000,,,,,,,,,,0
92,1,12.983000,,,,,,,,,,0
93,1,13.046000,,,,,,,,,,0
94,1,13.289000,,,,,,,,,,0
95,1,13.252000,,,,,,,,,,0
96,1,13.021000,,,,,,,,,,0
97,1,13.152000,,,,,,,,,,0
98,1,13.238000,,,,,,,,,,0
99,1,13.072000,,,,,,,,,,0
100,1,13.177000,,,,,,,,,,0
101,1,13.335000,,,,,,,,,,0
102,1,13.048000,,,,,,,,,,0
103,1,13.105000,,,,,,,,,,0
104,1,13.067000,,,,,,,,,,0
105,1,13.181000,,,,,,,,,,0
106,1,13.066000,,,,,,,,,,0
107,1,13.199000,,,,,,,,,,0
108,1,13.386000,,,,,,,,,,0
109,1,13.190000,,,,,,,,,,0
110,1,13.255000,,,,,,,,,,0
111,1,13.109000,,,,,,,,,,0
112,1,13.102000,,,,,,,,,,0
113,1,13.196000,,,,,,,,,,0
114,1,13.089000,,,,,,,,,,0
115,1,13.293000,,,,,,,,,,0
116,1,13.091000,,,,,,,,,,0
117,1,13.082000,,,,,,,,,,0
118,1,13.262000,,,,,,,,,,0
119,1,13.383000,,,,,,,,,,0
120,1,13.219000,,,,,,,,,,0
121,1,13.108000,,,,,,,,,,0
122,1,13.186000,,,,,,,,,,0
123,1,13.048000,,,,,,,,,,0
124,1,13.241000,,,,,,,,,,0
125,1,13.259000,,,,,,,,,,0
126,1,13.199000,,,,,,,,,,0
127,1,13.227000,,,,,,,,,,0
128,1,13.297000,,,,,,,,,,0
129,1,13.284000,,,,,,,,,,0
130,1,13.273000,,,,,,,,,,0
131,1,13.214000,,,,,,,,,,0
132,1,13.338000,,,,,,,,,,0
133,1,13.209000,,,,,,,,,,0
134,1,13.199000,,,,,,,,,,0
135,1,13.156000,,,,,,,,,,0
136,1,13.229000,,,,,,,,,,0
137,1,13.279000,,,,,,,,,,0
138,1,13.098000,,,,,,,,,,0
139,1,13.177000,,,,,,,,,,0
140,1,12.948000,,,,,,,,,,0
141,1,13.048000,,,,,,,,,,0
142,1,13.154000,,,,,,,,,,0
143,1,13.288000,,,,,,,,,,0
144,1,13.191000,,,,,,,,,,0
145,1,13.061000,,,,,,,,,,0
146,1,13.332000,,,,,,,,,,0
147,1,13.120000,,,,,,,,,,0
148,1,13.081000,,,,,,,,,,0
149,1,13.117000,,,,,,,,,,0
150,1,13.169000,,,,,,,,,,0
151,1,13.022000,,,,,,,,,,0
152,1,13.180000,,,,,,,,,,0
153,1,13.245000,,,,,,,,,,0
154,1,13.057000,,,,,,,,,,0
155,1,13.009000,,,,,,,,,,0
156,1,13.199000,,,,,,,,,,0
157,1,13.237000,,,,,,,,,,0
158,1,13.098000,,,,,,,,,,0
159,1,13.158000,0,0,0.999511719,0.0100132575,0.0156972295,841990,273935,0,0,1
