frame,reset,wall_ms,invalid,rgb_min,rgb_max,luma_mean,roi_luma_mean,dark_pixels,roi_dark_pixels,changed_half_values_from_first,maxabs_from_first,checked
0,1,1275.499000,0,0,0.999511719,0.0100132575,0.0156972295,841990,273935,0,0,1
1,1,14.600000,,,,,,,,,,0
2,1,13.299000,,,,,,,,,,0
3,1,13.168000,,,,,,,,,,0
4,1,13.479000,,,,,,,,,,0
5,1,13.451000,,,,,,,,,,0
6,1,13.278000,,,,,,,,,,0
7,1,13.200000,,,,,,,,,,0
8,1,13.145000,,,,,,,,,,0
9,1,13.231000,,,,,,,,,,0
10,1,13.129000,,,,,,,,,,0
11,1,13.353000,,,,,,,,,,0
12,1,13.200000,,,,,,,,,,0
13,1,13.409000,,,,,,,,,,0
14,1,13.289000,,,,,,,,,,0
15,1,13.184000,,,,,,,,,,0
16,1,12.727000,,,,,,,,,,0
17,1,12.701000,,,,,,,,,,0
18,1,12.750000,,,,,,,,,,0
19,1,12.858000,,,,,,,,,,0
20,1,12.782000,,,,,,,,,,0
21,1,12.680000,,,,,,,,,,0
22,1,12.868000,,,,,,,,,,0
23,1,12.886000,,,,,,,,,,0
24,1,12.971000,,,,,,,,,,0
25,1,12.987000,,,,,,,,,,0
26,1,13.032000,,,,,,,,,,0
27,1,13.174000,,,,,,,,,,0
28,1,12.980000,,,,,,,,,,0
29,1,12.997000,,,,,,,,,,0
30,1,13.202000,,,,,,,,,,0
31,1,13.001000,,,,,,,,,,0
32,1,13.061000,,,,,,,,,,0
33,1,13.039000,,,,,,,,,,0
34,1,13.003000,,,,,,,,,,0
35,1,13.082000,,,,,,,,,,0
36,1,13.164000,,,,,,,,,,0
37,1,13.126000,,,,,,,,,,0
38,1,13.110000,,,,,,,,,,0
39,1,13.066000,,,,,,,,,,0
40,1,13.151000,,,,,,,,,,0
41,1,12.970000,,,,,,,,,,0
42,1,13.065000,,,,,,,,,,0
43,1,13.085000,,,,,,,,,,0
44,1,13.015000,,,,,,,,,,0
45,1,13.197000,,,,,,,,,,0
46,1,13.145000,,,,,,,,,,0
47,1,13.297000,,,,,,,,,,0
48,1,13.055000,,,,,,,,,,0
49,1,13.180000,,,,,,,,,,0
50,1,13.266000,,,,,,,,,,0
51,1,13.156000,,,,,,,,,,0
52,1,13.188000,,,,,,,,,,0
53,1,13.489000,,,,,,,,,,0
54,1,13.210000,,,,,,,,,,0
55,1,13.160000,,,,,,,,,,0
56,1,13.230000,,,,,,,,,,0
57,1,13.338000,,,,,,,,,,0
58,1,13.201000,,,,,,,,,,0
59,1,13.322000,,,,,,,,,,0
60,1,13.272000,,,,,,,,,,0
61,1,13.203000,,,,,,,,,,0
62,1,13.152000,,,,,,,,,,0
63,1,13.154000,,,,,,,,,,0
64,1,13.172000,,,,,,,,,,0
65,1,13.119000,,,,,,,,,,0
66,1,13.360000,,,,,,,,,,0
67,1,13.337000,,,,,,,,,,0
68,1,13.410000,,,,,,,,,,0
69,1,13.194000,,,,,,,,,,0
70,1,13.335000,,,,,,,,,,0
71,1,13.291000,,,,,,,,,,0
72,1,13.155000,,,,,,,,,,0
73,1,13.459000,,,,,,,,,,0
74,1,13.187000,,,,,,,,,,0
75,1,13.232000,,,,,,,,,,0
76,1,13.331000,,,,,,,,,,0
77,1,13.273000,,,,,,,,,,0
78,1,13.263000,,,,,,,,,,0
79,1,13.467000,,,,,,,,,,0
80,1,13.242000,,,,,,,,,,0
81,1,13.276000,,,,,,,,,,0
82,1,13.234000,,,,,,,,,,0
83,1,13.283000,,,,,,,,,,0
84,1,13.181000,,,,,,,,,,0
85,1,13.244000,,,,,,,,,,0
86,1,13.210000,,,,,,,,,,0
87,1,13.208000,,,,,,,,,,0
88,1,13.347000,,,,,,,,,,0
89,1,13.340000,,,,,,,,,,0
90,1,13.216000,,,,,,,,,,0
91,1,13.239000,,,,,,,,,,0
92,1,13.314000,,,,,,,,,,0
93,1,13.131000,,,,,,,,,,0
94,1,13.293000,,,,,,,,,,0
95,1,13.301000,,,,,,,,,,0
96,1,13.373000,,,,,,,,,,0
97,1,13.216000,,,,,,,,,,0
98,1,13.173000,,,,,,,,,,0
99,1,13.338000,,,,,,,,,,0
100,1,13.293000,,,,,,,,,,0
101,1,13.335000,,,,,,,,,,0
102,1,13.271000,,,,,,,,,,0
103,1,13.219000,,,,,,,,,,0
104,1,13.267000,,,,,,,,,,0
105,1,13.222000,,,,,,,,,,0
106,1,13.324000,,,,,,,,,,0
107,1,13.197000,,,,,,,,,,0
108,1,13.116000,,,,,,,,,,0
109,1,13.231000,,,,,,,,,,0
110,1,13.128000,,,,,,,,,,0
111,1,13.287000,,,,,,,,,,0
112,1,13.213000,,,,,,,,,,0
113,1,13.255000,,,,,,,,,,0
114,1,13.193000,,,,,,,,,,0
115,1,13.164000,,,,,,,,,,0
116,1,13.363000,,,,,,,,,,0
117,1,13.124000,,,,,,,,,,0
118,1,13.224000,,,,,,,,,,0
119,1,13.287000,,,,,,,,,,0
120,1,13.266000,,,,,,,,,,0
121,1,13.176000,,,,,,,,,,0
122,1,13.280000,,,,,,,,,,0
123,1,13.322000,,,,,,,,,,0
124,1,13.161000,,,,,,,,,,0
125,1,13.245000,,,,,,,,,,0
126,1,13.212000,,,,,,,,,,0
127,1,13.267000,,,,,,,,,,0
128,1,13.244000,,,,,,,,,,0
129,1,13.395000,,,,,,,,,,0
130,1,13.297000,,,,,,,,,,0
131,1,13.377000,,,,,,,,,,0
132,1,13.272000,,,,,,,,,,0
133,1,13.248000,,,,,,,,,,0
134,1,13.211000,,,,,,,,,,0
135,1,13.452000,,,,,,,,,,0
136,1,13.291000,,,,,,,,,,0
137,1,13.245000,,,,,,,,,,0
138,1,13.348000,,,,,,,,,,0
139,1,13.075000,,,,,,,,,,0
140,1,13.154000,,,,,,,,,,0
141,1,13.206000,,,,,,,,,,0
142,1,13.170000,,,,,,,,,,0
143,1,13.285000,,,,,,,,,,0
144,1,13.438000,,,,,,,,,,0
145,1,13.100000,,,,,,,,,,0
146,1,13.170000,,,,,,,,,,0
147,1,13.222000,,,,,,,,,,0
148,1,13.300000,,,,,,,,,,0
149,1,13.129000,,,,,,,,,,0
150,1,13.298000,,,,,,,,,,0
151,1,13.289000,,,,,,,,,,0
152,1,13.186000,,,,,,,,,,0
153,1,13.353000,,,,,,,,,,0
154,1,13.380000,,,,,,,,,,0
155,1,13.109000,,,,,,,,,,0
156,1,13.089000,,,,,,,,,,0
157,1,13.253000,,,,,,,,,,0
158,1,13.181000,,,,,,,,,,0
159,1,13.149000,0,0,0.999511719,0.0100132575,0.0156972295,841990,273935,0,0,1
